train/critic_loss,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,train/n_updates,train/ent_coef,rollout/ep_rew_mean,train/ent_coef_loss,time/fps,time/episodes,time/time_elapsed,train/actor_loss,eval/mean_ep_length,eval/mean_reward
99831.0234375,317.69,61032,0.001,7616,1.8469860553741455,-3280.60325724,0.13126592338085175,277,184,219,-701.4576416015625,,
179259.59375,318.56,61928,0.001,7728,1.836445927619934,-2954.1777999400006,0.07339496910572052,277,188,222,-745.202392578125,,
23460.31640625,314.82,62976,0.001,7859,1.8207497596740723,-2570.5209803000002,0.2591201066970825,278,192,226,-778.2998657226562,,
57913.24609375,307.28,63192,0.001,7886,1.819692611694336,-2538.1734717500003,-0.35707759857177734,278,196,226,-757.974853515625,,
68682.078125,310.76,65616,0.001,8189,1.846479058265686,-2548.9099181500005,-0.2582738697528839,279,200,234,-859.133056640625,,
19635.16015625,320.56,66536,0.001,8304,1.8546054363250732,-2499.8079804,-0.008246779441833496,280,204,237,-772.2977905273438,,
121855.390625,326.97,67336,0.001,8404,1.8389039039611816,-2503.78135324,0.052217163145542145,280,208,240,-711.529052734375,,
227976.609375,321.18,68160,0.001,8507,1.8234739303588867,-2370.1033169300003,-0.27707749605178833,280,212,242,-776.7620849609375,,
160191.75,321.63,69248,0.001,8643,1.8383762836456299,-2436.35015913,0.16336536407470703,281,216,246,-829.040771484375,,
180736.34375,323.29,70000,0.001,8737,1.8223758935928345,-2381.7703896000003,0.2701783776283264,281,218,248,-933.8946533203125,,
,,70000,,,,,,,,,,315.6,-6334.163995599999
106575.515625,322.09,70248,0.001,8768,1.8145135641098022,-2532.46353274,0.346344530582428,278,220,252,-854.469482421875,,
25103.4296875,326.32,71360,0.001,8907,1.8070870637893677,-2672.24173312,-0.09668633341789246,278,224,256,-950.4503173828125,,
68893.6796875,319.22,72560,0.001,9057,1.8287742137908936,-2706.0553398200004,0.017370861023664474,278,228,260,-823.8092651367188,,
257108.25,321.42,75880,0.001,9472,1.852593183517456,-2788.57958062,0.2312665581703186,280,232,270,-919.0841064453125,,
96463.921875,322.21,76936,0.001,9604,1.8250644207000732,-2395.14912411,0.5148351192474365,280,236,274,-956.5831909179688,,
164008.828125,310.84,78392,0.001,9786,1.798140525817871,-2206.59104883,-0.041285306215286255,280,240,279,-915.8497314453125,,
24977.7421875,316.45,79744,0.001,9955,1.7816940546035767,-2181.46361492,0.13826891779899597,281,244,283,-970.3875122070312,,
37965.421875,316.45,80000,0.001,9987,1.776606798171997,-2181.46361492,0.07839043438434601,281,244,284,-1009.2060546875,,
,,80000,,,,,,,,,,409.2,-588.312815
27177.57421875,327.23,81272,0.001,10146,1.7790210247039795,-1903.3199883200002,-0.2798328995704651,278,248,292,-965.7230224609375,,
21262.447265625,321.5,82704,0.001,10325,1.7791742086410522,-1663.8918473100002,0.3334789276123047,278,252,296,-1019.6926879882812,,
272349.5625,320.49,83680,0.001,10447,1.7549090385437012,-1854.8249684099999,0.007026061415672302,278,256,300,-1087.785888671875,,
196157.09375,308.93,84808,0.001,10588,1.7652243375778198,-1733.0479653700002,-0.43179744482040405,279,260,303,-1023.44189453125,,
212755.6875,297.12,85128,0.001,10628,1.7735604047775269,-1563.51706672,-0.23922893404960632,279,264,304,-1107.462158203125,,
45058.125,309.13,87744,0.001,10955,1.8850313425064087,-1850.4854498299997,-0.15453211963176727,280,268,313,-1172.678955078125,,
130419.3125,305.64,89128,0.001,11128,1.9177100658416748,-2187.349032,0.05641115456819534,280,272,317,-1191.63427734375,,
26106.36328125,299.03,90000,0.001,11237,1.9270161390304565,-2154.80379338,-0.05467446148395538,281,275,320,-1151.44970703125,,
,,90000,,,,,,,,,,334.4,-176.60558339999972
29473.69921875,294.99,90416,0.001,11289,1.9360578060150146,-2323.1251976999997,0.3029620945453644,278,276,324,-1184.41259765625,,
140945.421875,307.86,92360,0.001,11532,1.9339083433151245,-2320.57874526,0.06897325813770294,279,280,330,-1147.50732421875,,
239700.8125,330.19,95032,0.001,11866,1.9072039127349854,-2557.91035412,-0.17813974618911743,279,284,339,-1143.560791015625,,
142999.40625,333.33,96152,0.001,12006,1.8965184688568115,-2282.60498722,0.30359169840812683,280,288,343,-1154.0491943359375,,
37584.5,337.54,97272,0.001,12146,1.8940743207931519,-2146.6508847099994,0.1246642991900444,280,292,346,-1139.478515625,,
14667.833984375,350.83,98368,0.001,12283,1.9170609712600708,-1992.2210731000002,-0.026120468974113464,280,296,350,-1105.123046875,,
185545.3125,359.23,100000,0.001,12487,1.8854118585586548,-1933.83919479,0.3776165843009949,281,297,355,-1144.165771484375,,
,,100000,,,,,,,,,,693.0,-65242.8134082
17986.05859375,368.26,101448,0.001,12668,1.7981219291687012,-2156.82515027,0.4447247385978699,276,300,366,-1102.83203125,,
118748.7578125,356.9,102016,0.001,12739,1.7731051445007324,-2286.44604182,0.25872981548309326,277,304,368,-1112.779296875,,
177224.25,345.6,104208,0.001,13013,1.7752786874771118,-2389.1199261999996,-0.37806349992752075,277,308,375,-1147.807861328125,,
133648.125,344.35,105496,0.001,13174,1.8224174976348877,-2392.2289169400005,-0.27992913126945496,277,312,380,-1099.335693359375,,
17918.94921875,363.15,106368,0.001,13283,1.8511781692504883,-2365.98868275,-0.0011410564184188843,277,316,383,-1049.74072265625,,
160870.96875,362.35,107856,0.001,13469,1.8724734783172607,-2279.5093073699995,-0.10933177918195724,278,320,387,-1061.9039306640625,,
235342.46875,368.56,108344,0.001,13530,1.8912643194198608,-2379.1124139299995,-0.05201783776283264,278,324,389,-1055.8382568359375,,
