train/critic_loss,train/ent_coef_loss,rollout/ep_len_mean,train/ent_coef,train/learning_rate,train/n_updates,time/episodes,train/actor_loss,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean
78007176.0,-0.017041517421603203,62.75,0.9716323018074036,0.001,90,4,154.3039093017578,2,464,164,-95538.4375
154331296.0,-0.02200271189212799,73.875,0.9623067378997803,0.001,145,8,-178.87554931640625,4,684,157,-93065.12784087501
181974400.0,0.1716938018798828,76.66666666666667,0.9726245999336243,0.001,255,12,-949.6441650390625,7,1124,151,-92232.16856058333
224893120.0,0.1257016807794571,62.1875,0.9849907755851746,0.001,293,16,-934.3116455078125,8,1276,149,-94218.5014204375
178755968.0,0.013673454523086548,53.15,0.9986353516578674,0.001,327,20,-1066.6005859375,9,1412,148,-95406.80113635
137828288.0,-0.14196118712425232,47.0,1.0135670900344849,0.001,359,24,-968.3320922851562,10,1540,148,-96197.75094695833
108628216.0,-0.22033311426639557,48.57142857142857,1.022060751914978,0.001,378,28,-1074.10302734375,10,1616,147,-96822.35795453572
141139488.0,-0.40044426918029785,44.65625,1.0336788892745972,0.001,402,32,-973.5020751953125,11,1712,148,-97239.87571021875
101943856.0,-0.4712551534175873,41.583333333333336,1.0456904172897339,0.001,426,36,-943.9009399414062,12,1808,149,-97564.33396463889
145635584.0,-0.6634454131126404,39.275,1.057598352432251,0.001,449,40,-911.8189697265625,12,1900,149,-97825.400568175
312410016.0,-0.754866361618042,37.40909090909091,1.0712213516235352,0.001,475,44,-722.189453125,13,2004,149,-98039.22778924998
172984704.0,-0.9603100419044495,35.895833333333336,1.0845481157302856,0.001,503,48,-445.8173828125,14,2116,150,-98217.83380681249
230462064.0,-1.01787269115448,34.53846153846154,1.0951365232467651,0.001,524,52,-518.3372802734375,14,2200,149,-98368.19274474999
196829728.0,-1.1260181665420532,33.32142857142857,1.1072381734848022,0.001,548,56,-434.203857421875,15,2296,149,-98496.53612012499
68599408.0,-1.5045350790023804,32.25,1.1193393468856812,0.001,573,60,-367.17926025390625,16,2396,148,-98607.60037878333
115676416.0,-1.6724205017089844,31.375,1.1320046186447144,0.001,596,64,-99.08197021484375,16,2488,148,-98705.40660510937
144166112.0,-1.929072380065918,30.63235294117647,1.1454017162322998,0.001,621,68,-302.99981689453125,17,2588,148,-98792.00033422059
213169440.0,-2.2865076065063477,30.09722222222222,1.1623858213424683,0.001,650,72,-29.806415557861328,18,2704,147,-98870.222537875
203771728.0,-2.333927869796753,29.513157894736842,1.176112413406372,0.001,675,76,-297.02947998046875,18,2804,148,-98939.15819377631
76399880.0,-3.1736230850219727,29.8875,1.245987057685852,0.001,802,80,566.299560546875,22,3312,146,-99010.20028408749
161380016.0,-3.4399285316467285,39.07058823529412,1.2729281187057495,0.001,852,84,796.7625732421875,24,3512,145,-98758.57261529412
256854912.0,-3.8892605304718018,38.38636363636363,1.2832900285720825,0.001,870,88,815.3441162109375,24,3584,145,-98807.03036704545
29195072.0,-5.399550437927246,38.81521739130435,1.342177391052246,0.001,965,92,811.5680541992188,27,3964,145,-98770.74643804347
32257612.0,-5.542424201965332,37.947916666666664,1.3655856847763062,0.001,1000,96,694.9193115234375,28,4104,144,-98829.04866979166
111059304.0,-6.146327495574951,38.48,1.3874191045761108,0.001,1035,100,1096.50732421875,29,4244,144,-98795.024223
93932664.0,-8.163345336914062,38.98,1.4848225116729736,0.001,1175,104,1082.569580078125,33,4804,144,-98901.786723
132621656.0,-8.47437858581543,37.68,1.50229012966156,0.001,1199,108,1366.82568359375,33,4900,144,-98994.36535937
159652848.0,-9.189221382141113,35.1,1.5221227407455444,0.001,1227,112,1422.2591552734375,34,5012,144,-99378.41535937
121423216.0,-9.075916290283203,40.6,1.5354323387145996,0.001,1244,116,1657.231201171875,35,5080,144,-99433.41535937
184054224.0,-9.617216110229492,40.6,1.5488431453704834,0.001,1261,120,1344.1112060546875,35,5148,143,-99433.41535937
111469240.0,-9.781387329101562,40.6,1.56011962890625,0.001,1277,124,1407.01513671875,36,5212,143,-99433.41535937
134136656.0,-10.08875846862793,39.02,1.5760928392410278,0.001,1297,128,1638.3798828125,36,5292,143,-99417.61535937
78885496.0,-9.914667129516602,39.13,1.5944995880126953,0.001,1321,132,1941.8333740234375,37,5388,143,-99418.71535937
218767936.0,-9.971803665161133,39.63,1.6149156093597412,0.001,1348,136,1358.3704833984375,38,5496,143,-99022.5686927
89532840.0,-10.436067581176758,40.29,1.6417802572250366,0.001,1385,140,1836.9462890625,39,5644,143,-99029.16869270001
237460288.0,-10.491201400756836,41.01,1.672644853591919,0.001,1428,144,1951.5164794921875,40,5816,143,-98935.4686927
129994464.0,-10.501776695251465,41.65,1.6966314315795898,0.001,1461,148,2538.56298828125,41,5948,143,-98841.86869270001
67729320.0,-10.025074005126953,42.25,1.7326453924179077,0.001,1511,152,2271.866943359375,42,6148,143,-98647.41869270001
120747456.0,-10.617422103881836,42.97,1.7731484174728394,0.001,1571,156,2585.441650390625,44,6388,143,-98354.61869270001
70139152.0,-11.041422843933105,44.18,1.8214538097381592,0.001,1643,160,2513.703125,46,6676,143,-97966.18535937
123727952.0,-12.217741966247559,45.86,1.9195780754089355,0.001,1787,164,3245.5234375,50,7252,142,-97476.91535937
106481040.0,-11.62902545928955,49.36,1.9631680250167847,0.001,1850,168,3147.9404296875,52,7504,142,-97087.11535937
72749624.0,-11.368656158447266,49.65,1.983859658241272,0.001,1881,172,3795.563232421875,53,7628,142,-96887.93535937
72855904.0,-12.481857299804688,50.2,2.0190343856811523,0.001,1930,176,3937.24365234375,54,7824,142,-96493.43535937
97743904.0,-13.941068649291992,51.61,2.1263465881347656,0.001,2084,180,5886.2275390625,58,8440,143,-96006.71035937
94098208.0,-13.61645221710205,47.72,2.2277626991271973,0.001,2226,184,5685.42529296875,62,9008,143,-95900.21580808
69854912.0,-13.305778503417969,56.94,2.2775135040283203,0.001,2290,188,5330.689453125,64,9264,143,-95378.59311577
27288436.0,-14.47498893737793,59.26,2.4016776084899902,0.001,2454,192,5030.4755859375,69,9920,143,-95088.57089355
80946016.0,-14.352775573730469,64.99,2.4675166606903076,0.001,2535,196,4516.8212890625,71,10244,142,-94721.95422688
56233920.0,-15.068772315979004,66.31,2.564521074295044,0.001,2652,200,4396.7294921875,75,10712,142,-94428.57506021
106583120.0,-16.604835510253906,69.0,2.7935211658477783,0.001,2914,204,6455.212890625,82,11760,142,-94052.09410783001
40213536.0,-18.057971954345703,68.41,2.931452512741089,0.001,3065,208,5217.9306640625,86,12364,142,-94249.49274418998
98640544.0,-19.22896385192871,69.34,3.098849058151245,0.001,3229,212,6921.671875,91,13020,141,-94258.79274418998
44391368.0,-19.856128692626953,64.19,3.2164361476898193,0.001,3339,216,6322.72900390625,94,13460,141,-94207.29274418998
96238384.0,-21.18644142150879,73.02,3.335702419281006,0.001,3442,220,6963.205078125,97,13872,141,-93994.91774418998
54959036.0,-22.39700698852539,90.7,3.502390146255493,0.001,3581,224,5391.83251953125,101,14428,141,-93535.19274418999
23545020.0,-21.16940689086914,93.81,3.627614974975586,0.001,3684,228,6760.498046875,104,14840,141,-93059.29774418999
75534032.0,-20.877317428588867,96.02,3.682027578353882,0.001,3727,232,5018.82666015625,105,15012,141,-92474.89107751999
64082524.0,-22.000934600830078,97.59,3.8521926403045654,0.001,3868,236,7893.828125,109,15576,141,-92691.73774418999
53189176.0,-22.997629165649414,100.48,3.9550626277923584,0.001,3951,240,6143.29736328125,112,15908,141,-92108.17259266999
42833192.0,-23.91666030883789,100.54,4.023398399353027,0.001,4002,244,4082.05078125,113,16112,141,-91809.13925933998
15568520.0,-24.368776321411133,100.38,4.081490516662598,0.001,4043,248,4491.5625,115,16276,141,-91707.53925933997
148607776.0,-24.283754348754883,101.7,4.274129390716553,0.001,4177,252,5860.16357421875,118,16812,141,-91921.18925933998
11621912.0,-25.654804229736328,105.75,4.323126316070557,0.001,4211,256,6218.521484375,119,16948,141,-92025.44064822998
56888624.0,-25.67407989501953,104.73,4.368698596954346,0.001,4241,260,5933.60302734375,120,17068,141,-92415.77398155998
12194531.0,-25.839412689208984,103.2,4.405706405639648,0.001,4264,264,6399.1201171875,121,17160,141,-92906.54398155998
10612746.0,-26.073413848876953,99.85,4.471253395080566,0.001,4306,268,6307.9306640625,122,17328,141,-93297.84398155998
13504511.0,-27.11882209777832,101.01,4.637785911560059,0.001,4412,272,7052.4091796875,125,17752,141,-93310.54620377999
22751872.0,-28.604978561401367,101.96,4.881169319152832,0.001,4555,276,5564.67236328125,129,18324,141,-93720.04620377999
56952412.0,-28.10308837890625,102.77,4.998214244842529,0.001,4622,280,5786.35693359375,131,18592,141,-94008.70870378
47207640.0,-30.557554244995117,104.25,5.04673433303833,0.001,4650,284,6613.81787109375,132,18704,141,-94346.97675934
64619136.0,-28.40207862854004,96.46,5.182629585266113,0.001,4725,288,6024.24658203125,134,19004,141,-94474.11945165001
95762536.0,-27.954917907714844,94.76,5.375170707702637,0.001,4831,292,6047.99365234375,137,19428,141,-94564.04167387002
83322008.0,-26.38711166381836,96.53,5.625463962554932,0.001,4980,296,5636.1025390625,142,20024,140,-94699.22500721
48771488.0,-26.74014663696289,100.78,5.940242767333984,0.001,5160,300,7450.30908203125,147,20744,140,-94835.01667387999
30383104.0,-25.317819595336914,99.89,6.283975124359131,0.001,5352,304,6861.837890625,152,21512,141,-95024.37262626
94243344.0,-27.58788299560547,105.96,6.561983585357666,0.001,5502,308,8470.1181640625,156,22112,141,-94866.72262626
79660240.0,-26.728485107421875,108.45,6.972882270812988,0.001,5714,312,6742.6279296875,162,22960,141,-94476.79262626
36869288.0,-26.4376277923584,114.05,7.328667163848877,0.001,5893,316,6184.05126953125,167,23676,141,-93799.95224164
23496164.0,-25.958595275878906,108.23,7.588557720184326,0.001,6016,320,7879.4931640625,170,24168,141,-93941.37724164
58572416.0,-26.10865020751953,100.78,7.780614376068115,0.001,6108,324,10166.57421875,173,24536,141,-94093.91890830999
60021264.0,-29.468963623046875,102.68,8.362555503845215,0.001,6378,328,8677.51171875,180,25616,141,-94104.15390831
14131060.0,-27.969223022460938,101.11,8.706209182739258,0.001,6522,332,10081.73828125,185,26192,141,-94394.08057498
76944688.0,-28.889076232910156,101.66,8.831936836242676,0.001,6576,336,9172.5625,186,26408,141,-94395.18057498001
23975066.0,-25.740821838378906,109.16,9.723873138427734,0.001,6942,340,9035.6865234375,197,27872,141,-93619.4957265
