time/time_elapsed,train/ent_coef_loss,train/learning_rate,time/fps,train/critic_loss,time/episodes,train/n_updates,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/actor_loss,train/ent_coef,eval/mean_reward,eval/mean_ep_length
2,-0.03394792601466179,0.001,344,135034.28125,4,112,-7514.482437500001,1000,60.5,-71.27279663085938,0.9657573699951172,,
4,0.023805417120456696,0.001,341,46823.125,8,177,-11017.599513500001,1520,112.75,-281.38739013671875,0.959868848323822,,
9,0.014453178271651268,0.001,347,18322.23046875,12,401,-13615.736806750001,3312,134.08333333333334,-143.21726989746094,0.9932011365890503,,
15,-0.1202937662601471,0.001,348,10900.615234375,16,669,-16454.572905875,5456,181.25,51.8261604309082,1.0442616939544678,,
19,-0.5177549123764038,0.001,349,78699.171875,20,856,-15998.00729995,6952,204.5,114.2227554321289,1.1093591451644897,,
24,-0.7160158157348633,0.001,349,88779.328125,24,1042,-18592.579760916666,8440,264.4166666666667,131.15985107421875,1.192454218864441,,
28,-0.5691572427749634,0.001,346,14155.626953125,28,1231,-19352.626208357142,9952,295.92857142857144,186.61312866210938,1.2627946138381958,,
28,-0.510776698589325,0.001,346,15702.5732421875,28,1237,-19352.626208357142,10000,295.92857142857144,150.5288543701172,1.2646185159683228,,
,,,,,,,,10000,,,,-196761.11785940002,959.2
42,-0.49269556999206543,0.001,288,11252.8818359375,32,1502,-20215.96098090625,12120,299.6875,255.9166259765625,1.3102478981018066,,
45,-0.6750630140304565,0.001,294,13688.8525390625,36,1669,-20768.367642916666,13456,309.47222222222223,305.8969421386719,1.3542975187301636,,
48,-0.4153170585632324,0.001,297,11805.513671875,40,1775,-20089.9672448,14304,294.1,278.3881530761719,1.384433627128601,,
51,-0.43505266308784485,0.001,304,10171.8642578125,44,1961,-19061.47714381818,15792,293.97727272727275,378.4611511230469,1.418278694152832,,
54,-0.6664159893989563,0.001,308,41862.90625,48,2092,-18664.9340845,16840,310.25,250.20570373535156,1.4517152309417725,,
57,-0.34130576252937317,0.001,313,15295.5341796875,52,2253,-18623.95127303846,18128,318.3269230769231,336.20477294921875,1.488029956817627,,
59,-0.05228099599480629,0.001,313,113025.484375,56,2317,-18459.634872196428,18640,316.4107142857143,303.08453369140625,1.49630868434906,,
63,-0.33620890974998474,0.001,314,175059.828125,58,2487,-18145.3506215,20000,310.37931034482756,398.703125,1.510901689529419,,
,,,,,,,,20000,,,,-121833.8568342,603.6
70,-0.2557394504547119,0.001,294,9491.2783203125,60,2587,-17828.768348566664,20800,311.46666666666664,345.3419189453125,1.5244317054748535,,
