rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/kl_divergence_loss,train/std,train/is_line_search_success,train/explained_variance,train/value_loss,train/n_updates,train/learning_rate,train/policy_objective
-398567.31063933333,123.3015873015873,11,8192,700,1,,,,,,,,
-342324.83725688,113.07,28,16384,573,2,0.0048663439229130745,1.0030710697174072,1.0,0.0,2948992706.4,1,0.001,0.06210513412952423
-302803.03708768,115.08,43,24576,564,3,0.00461427541449666,0.9961121678352356,1.0,0.0,2419987211.2,2,0.001,0.044233985245227814
-259067.58050824,103.04,59,32768,553,4,0.005030902102589607,0.9899760484695435,1.0,-1.1920928955078125e-07,1976836437.4,3,0.001,0.04699794948101044
-261692.11894354,116.19,74,40960,549,5,0.004754104185849428,0.9912022352218628,1.0,-1.1920928955078125e-07,1858105752.0,4,0.001,0.04437066614627838
-232081.62672008,106.1,90,49152,544,6,0.004483507946133614,0.9828356504440308,1.0,0.0,1683213605.4,5,0.001,0.04317089170217514
-255429.04030749996,135.41,105,57344,542,7,0.004930447321385145,0.9795864224433899,1.0,0.0,1522992212.7,6,0.001,0.04104869067668915
-207871.15625938,106.13,121,65536,539,8,0.004756764508783817,0.9707834720611572,1.0,0.0,1205400931.1,7,0.001,0.04554756358265877
-208150.92648673002,117.68,136,73728,540,9,0.005385830067098141,0.9658095240592957,1.0,0.0,1416763311.3,8,0.001,0.04771782085299492
-199050.62214542003,115.89,152,81920,538,10,0.005280635319650173,0.9531082510948181,1.0,5.960464477539063e-08,1170819008.5,9,0.001,0.04906958341598511
-200764.08663441997,120.44,168,90112,536,11,0.00561845488846302,0.958928644657135,1.0,0.0,1256141544.9,10,0.001,0.04747786000370979
-183970.17109612003,114.74,183,98304,535,12,0.0061560519970953465,0.9554252624511719,1.0,5.960464477539063e-08,1154386980.7,11,0.001,0.051491305232048035
-180811.78556886,111.69,199,106496,533,13,0.005818214733153582,0.9508119225502014,1.0,-1.1920928955078125e-07,1148582906.8,12,0.001,0.04794307425618172
-177525.58817794998,113.24,215,114688,531,14,0.006242979317903519,0.9464110136032104,1.0,-1.1920928955078125e-07,1195950562.8,13,0.001,0.0520840659737587
-182821.02251732998,123.88,232,122880,529,15,0.006306200288236141,0.9418115615844727,1.0,0.0,1026125915.8,14,0.001,0.04782857000827789
-182813.67797040998,116.54,248,131072,528,16,0.005991613958030939,0.9499843716621399,1.0,0.0,1132399007.0,15,0.001,0.048585131764411926
-192818.08096665997,126.6,263,139264,528,17,0.006980771664530039,0.955451250076294,1.0,1.1920928955078125e-07,1173084767.1,16,0.001,0.049557894468307495
-177049.87703598,114.85,279,147456,528,18,0.006237849593162537,0.9495159983634949,1.0,1.1920928955078125e-07,990958284.8,17,0.001,0.050962887704372406
-160579.02039628,101.67,294,155648,528,19,0.006367386318743229,0.9325483441352844,1.0,5.960464477539063e-08,1151023989.9,18,0.001,0.04494531825184822
-153535.65643135,100.93,310,163840,527,20,0.006542430259287357,0.92813640832901,1.0,1.1920928955078125e-07,1076988817.1,19,0.001,0.042426642030477524
-156852.03798114,115.13,326,172032,526,21,0.006509908474981785,0.9330489039421082,1.0,-1.1920928955078125e-07,1009813791.0,20,0.001,0.050003260374069214
-165363.05275412,115.77,343,180224,524,22,0.006992446258664131,0.9310177564620972,1.0,1.1920928955078125e-07,949083566.3,21,0.001,0.049841467291116714
-178901.23328903,124.07,360,188416,523,23,0.00692687788978219,0.9273794889450073,1.0,5.960464477539063e-08,1007107831.9,22,0.001,0.044048208743333817
-159964.70037621,119.48,376,196608,522,24,0.006870190147310495,0.9125389456748962,1.0,0.0,985064161.2,23,0.001,0.05235310643911362
-165393.40464720997,129.47,392,204800,522,25,0.006505300756543875,0.9102351069450378,1.0,0.0,872160962.7,24,0.001,0.0431702584028244
-163853.72134457997,127.18,408,212992,521,26,0.007733742240816355,0.9092357754707336,1.0,0.0,893071869.85,25,0.001,0.04633069038391113
-151799.79621605,111.99,425,221184,520,27,0.006390897557139397,0.9084582924842834,1.0,0.0,872274106.5,26,0.001,0.048013024032115936
-140759.22651543,100.67,442,229376,518,28,0.0070753563195466995,0.9109341502189636,1.0,0.0,1036588127.5,27,0.001,0.05116110295057297
-159632.07115638,118.01,458,237568,518,29,0.00669053616002202,0.9170141220092773,1.0,0.0,1048752483.2,28,0.001,0.04268636927008629
-157376.61896219,129.91,474,245760,517,30,0.006666652392596006,0.9078565239906311,1.0,0.0,951074743.9,29,0.001,0.04568213224411011
-145091.27553664998,127.47,490,253952,517,31,0.0077534019947052,0.9098008275032043,1.0,-1.1920928955078125e-07,766006554.0,30,0.001,0.04917056858539581
-153362.43597127,135.48,506,262144,517,32,0.00721326656639576,0.9106258749961853,1.0,-1.1920928955078125e-07,810063251.35,31,0.001,0.051193028688430786
-156375.59480179,132.05,522,270336,517,33,0.006988837383687496,0.9130039215087891,1.0,0.0,788830603.4,32,0.001,0.05052947625517845
-150864.23401242,118.03,540,278528,515,34,0.00698759313672781,0.9059845805168152,1.0,0.0,810088030.55,33,0.001,0.052440397441387177
-150180.11257081,124.49,557,286720,514,35,0.007055804133415222,0.9054182171821594,1.0,1.1920928955078125e-07,966180793.25,34,0.001,0.051969483494758606
-163321.91937810997,138.62,574,294912,513,36,0.007073311600834131,0.9010435938835144,1.0,1.1920928955078125e-07,847565772.8,35,0.001,0.04334929585456848
-161321.96114859,135.54,594,303104,509,37,0.007457650266587734,0.9006311893463135,1.0,5.960464477539063e-08,742739365.85,36,0.001,0.044924840331077576
-157410.33016748,131.66,614,311296,506,38,0.007110001519322395,0.900722086429596,1.0,5.960464477539063e-08,859416815.3,37,0.001,0.04813481122255325
-166908.75820908,150.36,635,319488,502,39,0.0069864606484770775,0.9029889702796936,1.0,-1.1920928955078125e-07,793382703.0,38,0.001,0.04650065675377846
-157373.54983268,158.38,655,327680,499,40,0.0069571915082633495,0.8993960618972778,1.0,0.0,691994237.95,39,0.001,0.044554077088832855
-159704.79680706,174.9,675,335872,497,41,0.007780898828059435,0.8985564112663269,1.0,1.7881393432617188e-07,640720416.6,40,0.001,0.052493877708911896
-170412.66785718995,198.52,695,344064,494,42,0.00742068886756897,0.8964803814888,1.0,-1.1920928955078125e-07,506005534.275,41,0.001,0.05170036479830742
