rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/step_size,train/iterations,train/learning_rate,train/delta_std,rollout/return_std
502.8125,1610,565,-14437712.620820124,911392,1.669090837763676e-10,20,0.02,0.05,14978214.0
668.0,1610,571,-20112125.460371997,920000,,,,,
800.8,1609,577,-24120627.7229928,930000,,,,,
778.6666666666666,1609,584,-23427892.906663552,940000,,,,,
752.1666666666666,1608,590,-22582386.206725914,950000,,,,,
753.875,1608,596,-22588736.72329344,959640,1.8803222867624925e-10,21,0.02,0.05,13295592.0
,1608,596,,960000,,,,,
253.375,1608,603,-7585058.917245875,970000,,,,,
315.9375,1608,609,-9452499.893707313,979860,1.7486520564879982e-10,22,0.02,0.05,14296726.0
4.0,1607,609,-99969.913885,980000,,,,,
502.0,1607,615,-15136885.335519,990000,,,,,
626.5,1605,622,-18787541.416743003,1000000,,,,,
541.2307692307693,1605,629,-16178965.206976388,1010000,,,,,
502.75,1604,630,-15019739.834378563,1012036,1.6231041510827993e-10,23,0.02,0.05,15402585.0
