train/n_updates,time/fps,train/explained_variance,rollout/ep_rew_mean,train/entropy_loss,train/std,train/policy_loss,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/learning_rate,time/iterations,train/value_loss
99,394,-0.00010251998901367188,-97885.45940171795,-8.555488586425781,1.007136583328247,-253.1551055908203,48.69230769230769,5,2000,0.0007,100,1036.325439453125
199,398,-7.653236389160156e-05,-97686.24503969048,-8.580972671508789,1.011731505393982,-235.7192840576172,46.26190476190476,10,4000,0.0007,200,1027.2939453125
299,395,0.0,-97902.31488096001,-8.565532684326172,1.0086641311645508,-222668.796875,53.91,15,6000,0.0007,300,2402297600.0
399,397,-2.1457672119140625e-06,-97765.92321429,-8.548913955688477,1.0060715675354004,8176.75634765625,61.16,20,8000,0.0007,400,9858944.0
499,403,-3.814697265625e-06,-97244.06071429,-8.532164573669434,1.0036447048187256,-229.05615234375,76.06,24,10000,0.0007,500,1001.009765625
599,403,5.424022674560547e-06,-97690.01071429,-8.523990631103516,1.0021874904632568,-233.03579711914062,91.04,29,12000,0.0007,600,992.2197265625
699,402,-1.1920928955078125e-07,-97802.11904762,-8.525985717773438,1.0023233890533447,-245.23350524902344,102.42,34,14000,0.0007,700,983.3203125
799,401,6.747245788574219e-05,-98025.94404762,-8.541404724121094,1.004593849182129,-262.0851745605469,114.81,39,16000,0.0007,800,974.0787353515625
899,400,-2.5033950805664062e-06,-98024.47738095,-8.54137134552002,1.004839539527893,-219.45584106445312,124.7,44,18000,0.0007,900,778.5421752929688
999,400,0.0,-98369.19166666002,-8.553730010986328,1.0071310997009277,-241.79788208007812,141.92,49,20000,0.0007,1000,956.67822265625
1099,399,-1.1920928955078125e-07,-98056.44999999001,-8.553253173828125,1.0072658061981201,-187.5208740234375,150.79,55,22000,0.0007,1100,731.6532592773438
1199,399,-5.960464477539062e-07,-97476.70833332,-8.568199157714844,1.0089539289474487,-264.7079772949219,150.93,60,24000,0.0007,1200,940.6913452148438
1299,398,-1.1920928955078125e-07,-97419.94166664999,-8.573719024658203,1.0099575519561768,-265.1631774902344,150.2,65,26000,0.0007,1300,932.630859375
1399,398,1.4901161193847656e-06,-97491.41666665001,-8.54881477355957,1.0064520835876465,-201.42471313476562,147.14,70,28000,0.0007,1400,742.4230346679688
1499,399,0.0,-97296.11666665,-8.561186790466309,1.0085763931274414,-234.8555145263672,160.71,75,30000,0.0007,1500,915.4138793945312
1599,399,1.3113021850585938e-06,-96796.61666664999,-8.596336364746094,1.014342188835144,-243.0142822265625,171.01,80,32000,0.0007,1600,907.5119018554688
1699,399,-2.384185791015625e-06,-96460.38333332,-8.574357986450195,1.0107125043869019,-208.9688720703125,180.29,85,34000,0.0007,1700,721.3507690429688
1799,399,0.0,-95486.04999999002,-8.523138999938965,1.002192735671997,-227.5062255859375,142.31,90,36000,0.0007,1800,893.2457885742188
1899,399,8.225440979003906e-06,-95450.5012013,-8.532429695129395,1.003552794456482,-154.1532745361328,118.46,95,38000,0.0007,1900,489.7677917480469
1999,400,1.1920928955078125e-07,-94057.35675685,-8.53422737121582,1.00380539894104,-255.2082061767578,66.09,99,40000,0.0007,2000,881.4476928710938
2099,399,3.5762786865234375e-07,-93489.01786797,-8.544099807739258,1.0057029724121094,-163.67759704589844,57.67,105,42000,0.0007,2100,497.0672302246094
2199,399,-1.1920928955078125e-07,-93464.21666666999,-8.492517471313477,0.9977421760559082,-184.69322204589844,54.8,110,44000,0.0007,2200,695.5426025390625
2299,399,8.827447891235352e-05,-94142.51111111998,-8.496909141540527,0.9982504844665527,-176.53640747070312,51.33,115,46000,0.0007,2300,649.2037963867188
2399,398,1.1920928955078125e-07,-95165.93285714001,-8.487947463989258,0.9968563914299011,-219.9594268798828,52.27,120,48000,0.0007,2400,856.6771850585938
2499,398,0.0,-97007.58285714,-8.472844123840332,0.9943491220474243,-219.4904327392578,55.48,125,50000,0.0007,2500,848.1759643554688
2599,398,-2.384185791015625e-07,-98255.67095237,-8.472357749938965,0.9938129186630249,-48985.21875,59.5,130,52000,0.0007,2600,498882112.0
2699,398,0.0,-98957.92976190001,-8.48532485961914,0.9961830973625183,-226.18325805664062,58.47,135,54000,0.0007,2700,833.5119018554688
2799,398,9.870529174804688e-05,-98195.26309523999,-8.49099349975586,0.9973464012145996,-78.19673919677734,62.62,140,56000,0.0007,2800,220.21829223632812
2899,398,1.9669532775878906e-06,-98158.55833333998,-8.509103775024414,1.0003416538238525,-216.81045532226562,59.78,145,58000,0.0007,2900,819.0265502929688
2999,398,0.0,-98097.45000000998,-8.524161338806152,1.0028737783432007,-205763.90625,53.51,150,60000,0.0007,3000,2396693760.0
3099,398,0.0,-98577.87916667,-8.518386840820312,1.001845359802246,-219.4092559814453,50.71,155,62000,0.0007,3100,804.8126220703125
3199,398,0.0,-98665.90416666999,-8.544766426086426,1.006364345550537,-213.28421020507812,59.41,160,64000,0.0007,3200,796.7693481445312
3299,398,0.0,-98449.82916667,-8.556227684020996,1.008192777633667,-219.44168090820312,68.34,165,66000,0.0007,3300,788.4859008789062
3399,399,0.05568373203277588,-97983.04583333999,-8.541426658630371,1.0052082538604736,-182.02352905273438,82.89,170,68000,0.0007,3400,585.9974365234375
3499,400,0.0,-96663.63035714,-8.515518188476562,1.0015405416488647,-172.2675018310547,96.18,174,70000,0.0007,3500,591.00146484375
3599,401,1.7881393432617188e-07,-95357.40702381,-8.549034118652344,1.0078978538513184,-108454.6015625,108.25,179,72000,0.0007,3600,1465981568.0
3699,401,-2.384185791015625e-07,-94537.91702381,-8.52950668334961,1.0036826133728027,-229.09390258789062,121.19,184,74000,0.0007,3700,762.3409423828125
