train/ent_coef,train/ent_coef_loss,time/fps,train/learning_rate,train/critic_loss,rollout/ep_len_mean,train/actor_loss,time/total_timesteps,time/episodes,train/n_updates,time/time_elapsed,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
0.9640332460403442,-0.215841144323349,329,0.001,264705.5,90.75,-7.730588912963867,1048,4,118,3,-13798.957619750001,,
0.9482287168502808,0.21595260500907898,329,0.001,19518.23828125,144.25,-173.89910888671875,3104,8,375,9,-22226.981700125,,
0.9669026136398315,0.06228403002023697,334,0.001,29753.603515625,172.33333333333334,-59.176048278808594,3968,12,483,11,-22734.24017825,,
0.9787029027938843,0.0937386155128479,335,0.001,21067.58203125,198.625,-58.24103927612305,4512,16,551,13,-27164.826440875,,
0.9924350380897522,0.026391150429844856,335,0.001,33469.26171875,201.75,-91.14784240722656,4960,20,607,14,-25717.8172634,,
1.001722812652588,-0.0033356877975165844,338,0.001,219194.40625,203.875,-23.299592971801758,5344,24,655,15,-24818.166884625,,
1.007460355758667,-0.02365952357649803,338,0.001,185529.171875,183.96428571428572,-60.44993209838867,5616,28,689,16,-21740.624950321428,,
1.018713116645813,-0.08272560685873032,338,0.001,159013.65625,173.75,-95.3196029663086,5992,32,736,17,-19957.290233,,
1.0277284383773804,-0.0984351709485054,338,0.001,37610.45703125,162.25,-53.97594451904297,6272,36,771,18,-18340.545777,,
1.046161413192749,-0.12262212485074997,337,0.001,38037.6640625,149.25,9.91447639465332,6784,40,835,20,-17166.117968425002,,
1.0603461265563965,-0.07489141821861267,339,0.001,110316.234375,152.97727272727272,41.06526565551758,7320,44,902,21,-16344.960876772728,,
1.0728734731674194,-0.17284885048866272,338,0.001,85861.90625,150.875,79.34349060058594,7984,48,985,23,-15627.9349433125,,
1.1049582958221436,-0.1873219609260559,338,0.001,103132.2421875,157.40384615384616,51.29351806640625,9736,52,1204,28,-15760.51528521154,,
1.1115626096725464,-0.3298078179359436,337,0.001,144724.421875,161.5185185185185,206.02456665039062,10000,54,1237,29,-15893.001764629633,,
,,,,,,,10000,,,,,90.0,-7739.7944214
1.115159034729004,-0.28970006108283997,328,0.001,37840.15234375,162.89285714285714,156.9330596923828,10136,56,1254,30,-15619.642049232145,,
1.1242789030075073,-0.4542236030101776,328,0.001,71458.0859375,165.98333333333332,201.64614868164062,10424,60,1290,31,-15844.330226483331,,
1.1480250358581543,-0.4948192536830902,326,0.001,172347.734375,161.40625,151.82421875,11056,64,1369,33,-15358.251159374999,,
