time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/n_updates,train/policy_objective,train/learning_rate,train/std,train/explained_variance,train/kl_divergence_loss,train/is_line_search_success,train/value_loss
16384,-99878.32269230999,259,63,154.36,1,,,,,,,,
32768,-99276.275,251,130,188.73,2,1,0.015868866816163063,0.0001,1.0064220428466797,-1.3113021850585938e-06,0.0037406987976282835,1.0,315594602.76875
49152,-98979.65166666999,248,197,200.24,3,2,0.01688942313194275,0.0001,1.003720998764038,-5.960464477539062e-07,0.0037710126489400864,1.0,235603260.9921875
65536,-100079.2375,247,264,211.12,4,3,0.016744166612625122,0.0001,1.0031781196594238,-3.5762786865234375e-07,0.0033633578568696976,1.0,244294454.4703125
81920,-100341.575,246,332,210.06,5,4,0.018430955708026886,0.0001,0.994363009929657,4.76837158203125e-07,0.003005209844559431,1.0,224219129.2734375
98304,-98841.43435897,246,399,215.66,6,5,0.017480922862887383,0.0001,0.9965993165969849,-1.1920928955078125e-07,0.0033438531681895256,1.0,235668162.3125
114688,-98544.86634615,245,467,217.74,7,6,0.020157357677817345,0.0001,0.9961711168289185,-1.1920928955078125e-07,0.003268118714913726,1.0,216825223.9671875
131072,-98902.71064102997,245,534,234.93,8,7,0.020966727286577225,0.0001,0.9956292510032654,0.0,0.004048255737870932,1.0,226196285.8015625
147456,-97887.78879121001,244,601,248.46,9,8,0.019739625975489616,0.0001,0.996722400188446,0.0,0.003926444798707962,1.0,188549274.37265626
163840,-98411.79166666,244,668,239.25,10,9,0.019286086782813072,0.0001,0.9903613924980164,0.0,0.0034993933513760567,1.0,185917129.03945312
180224,-98189.76499999002,244,736,249.64,11,10,0.014628534205257893,0.0001,0.9909278750419617,0.0,0.00341305835172534,1.0,205741470.18125
196608,-97990.28416666001,244,804,277.41,12,11,0.01762273535132408,0.0001,1.0057883262634277,-1.1920928955078125e-07,0.0032986486330628395,1.0,172840713.8564453
212992,-97533.45138888001,244,871,267.35,13,12,0.02288002334535122,0.0001,1.009376883506775,1.1920928955078125e-07,0.003634044900536537,1.0,183845351.3375
229376,-99476.00416666002,244,938,279.14,14,13,0.019692683592438698,0.0001,1.014819622039795,0.0,0.003629553597420454,1.0,173721239.45390624
245760,-99680.22027778,244,1005,302.08,15,14,0.019562311470508575,0.0001,1.0192763805389404,1.7881393432617188e-07,0.0037106433883309364,1.0,170327525.44375
262144,-98888.49861111,244,1072,313.03,16,15,0.020743105560541153,0.0001,1.0218453407287598,0.0,0.003682684153318405,1.0,149084661.4033203
278528,-98167.24833333999,244,1138,287.29,17,16,0.020870549604296684,0.0001,1.021449089050293,0.0,0.0030444632284343243,1.0,162311156.71328124
294912,-97809.75833334,244,1205,311.13,18,17,0.013908249326050282,0.0001,1.0152812004089355,1.1920928955078125e-07,0.003335900604724884,1.0,170657740.21484375
