time/fps,rollout/ep_len_mean,time/time_elapsed,train/step_size,train/iterations,train/learning_rate,train/delta_std,rollout/ep_rew_mean,time/total_timesteps,rollout/return_std
1581,752.5,30,1.9007366514056656e-10,0,0.02,0.05,-21776543.486403503,48160,13152795.0
1570,813.5625,63,2.0856023852378058e-10,1,0.02,0.05,-24262549.241815936,100228,11986944.0
1579,813.9375,96,2.0839355241442092e-10,2,0.02,0.05,-24302498.403536063,152320,11996532.0
1581,691.75,124,1.7608635383137283e-10,3,0.02,0.05,-20609537.703414313,196592,14197578.0
1578,813.6875,157,2.0808639533687057e-10,4,0.02,0.05,-24314060.087008875,248668,12014240.0
1581,754.375,187,1.8803202050943213e-10,5,0.02,0.05,-22506453.43961775,296948,13295607.0
1575,689.5625,216,1.757396173029946e-10,6,0.02,0.05,-20539645.35367625,341080,14225591.0
1575,689.9375,244,1.7507459371124412e-10,7,0.02,0.05,-20627187.711626437,385236,14279627.0
1576,813.8125,277,2.0833912373063868e-10,8,0.02,0.05,-24296118.96412819,437320,11999666.0
1568,875.8125,314,2.4588911462508634e-10,9,0.02,0.05,-26170406.457147937,493372,10167184.0
1564,815.0625,348,2.0823619217846812e-10,10,0.02,0.05,-24361132.64356125,545536,12005597.0
1565,627.5625,374,1.678004124539001e-10,11,0.02,0.05,-18748447.8089035,585700,14898652.0
1564,441.875,392,1.6370596545023375e-10,12,0.02,0.05,-13180915.341218874,613980,15271282.0
1564,565.0,415,1.6371551336824552e-10,13,0.02,0.05,-16890895.97640675,650140,15270391.0
1564,627.25,441,1.6749357456546932e-10,14,0.02,0.05,-18779178.482539188,690284,14925945.0
1563,626.875,467,1.6757535636902077e-10,15,0.02,0.05,-18759801.601011563,730404,14918662.0
1563,565.375,490,1.6373102873501466e-10,16,0.02,0.05,-16892419.91953131,766588,15268944.0
1563,813.6875,523,2.0806420475416587e-10,17,0.02,0.05,-24344579.566692937,818664,12015521.0
1562,254.1875,534,1.8678515678605123e-10,18,0.02,0.05,-7593132.16664575,834932,13384361.0
1562,316.5,547,1.748337308260517e-10,19,0.02,0.05,-9449263.59701525,855188,14299301.0
1562,442.0,565,1.6387945167561924e-10,20,0.02,0.05,-13179067.490754563,883476,15255115.0
1563,751.0,595,1.8707228821579491e-10,21,0.02,0.05,-22514081.420210935,931540,13363817.0
1563,316.375,608,1.7460524692758383e-10,22,0.02,0.05,-9466965.625,951788,14318011.0
1560,751.25,640,1.8745983931811594e-10,23,0.02,0.05,-22477650.529247124,999868,13336189.0
1559,875.625,660,,,,,-26247333.295456875,1030000,
1558,909.5454545454545,667,,,,,-27242398.778978635,1040000,
1557,800.8666666666667,674,,,,,-23980127.104584333,1050000,
1556,813.3125,675,2.0783791354617165e-10,24,0.02,0.05,-24347332.847110063,1051920,12028604.0
