time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/ent_coef,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate,train/ent_coef_loss,eval/mean_ep_length,eval/mean_reward
356,315,-1616.2206116700002,108,34200,104.8,2.4005839824676514,316515.46875,4262,283.55548095703125,0.001,-2.078265905380249,,
360,315,-1594.7892608400005,109,34464,105.97,2.4119138717651367,447982.625,4295,96.16079711914062,0.001,-2.4115960597991943,,
364,315,-2591.80325581,109,34608,112.07,2.4186363220214844,411566.0,4313,163.622802734375,0.001,-2.467515468597412,,
368,315,-2199.48035124,110,34856,110.26,2.4306130409240723,260860.5,4344,86.48750305175781,0.001,-2.8818740844726562,,
372,315,-2090.2052536199994,111,35136,107.18,2.445159435272217,287306.96875,4379,185.81781005859375,0.001,-2.2670764923095703,,
376,315,-1196.5153623499998,111,35312,97.22,2.4530575275421143,289504.3125,4401,170.747802734375,0.001,-2.4447860717773438,,
380,316,-823.2531537799998,112,35576,89.24,2.465364933013916,118932.734375,4434,174.42620849609375,0.001,-2.9235053062438965,,
384,316,-1119.10496297,113,35920,89.79,2.4836440086364746,424325.3125,4477,103.34611511230469,0.001,-2.929004430770874,,
388,316,-971.03179247,114,36200,91.86,2.4972832202911377,162696.796875,4512,213.88485717773438,0.001,-3.322930097579956,,
392,316,-1029.32536212,115,36632,91.27,2.521561622619629,131578.546875,4566,43.150428771972656,0.001,-2.769239902496338,,
396,317,-992.99725652,116,36888,94.2,2.536867618560791,88980.9609375,4598,62.90374755859375,0.001,-2.9513866901397705,,
400,317,-1064.54474824,116,37048,94.81,2.546694278717041,586836.375,4618,168.72821044921875,0.001,-3.126272678375244,,
404,317,-463.19570313,117,37440,95.33,2.5696535110473633,86336.9609375,4667,107.10235595703125,0.001,-2.4455161094665527,,
408,317,-167.08274352,118,37808,94.77,2.5887818336486816,281907.3125,4713,25.856773376464844,0.001,-2.661208152770996,,
412,318,-206.38396983,119,38096,95.96,2.602904796600342,230591.265625,4749,-37.7770881652832,0.001,-2.178107500076294,,
416,318,-692.2959294400002,121,38624,97.14,2.628955125808716,184635.53125,4815,-338.5043640136719,0.001,-2.3714418411254883,,
420,318,-836.4338506600001,121,38768,92.67,2.636256694793701,436039.875,4833,61.17184829711914,0.001,-2.2894725799560547,,
424,318,-1083.53627307,122,39152,93.17,2.6557793617248535,245852.484375,4881,34.8966064453125,0.001,-1.9051414728164673,,
428,318,-634.56893161,124,39616,86.74,2.680410385131836,113251.6875,4939,222.21237182617188,0.001,-2.2135181427001953,,
432,318,-640.0480492500001,124,39728,82.57,2.6854546070098877,127047.6796875,4953,169.80906677246094,0.001,-2.167684316635132,,
435,318,-563.4020229800002,125,40000,82.07,2.699597120285034,82108.046875,4987,249.63059997558594,0.001,-2.134978771209717,,
,,,,40000,,,,,,,,58.8,6268.2103114
436,317,-693.7829515000003,126,40160,81.82,2.7064106464385986,220752.71875,5007,134.62924194335938,0.001,-2.7613039016723633,,
440,317,-648.56812989,127,40584,84.13,2.728109836578369,475189.875,5060,46.35053634643555,0.001,-2.6740636825561523,,
444,317,-756.8417294000001,128,40848,83.01,2.742496967315674,351851.5,5093,95.72471618652344,0.001,-2.6322805881500244,,
448,317,-924.4913962300001,129,41080,84.77,2.755159616470337,228962.1875,5122,219.22515869140625,0.001,-2.54018497467041,,
452,317,-1055.95418451,129,41288,81.46,2.7653210163116455,294560.15625,5148,180.7440948486328,0.001,-2.547865867614746,,
456,317,-713.93195022,130,41488,80.25,2.7768094539642334,171737.046875,5173,253.14218139648438,0.001,-1.9794673919677734,,
460,317,-640.85386354,132,42136,80.41,2.805914878845215,278076.6875,5254,-25.5028076171875,0.001,-1.4663292169570923,,
464,317,634.2038870200001,133,42344,73.46,2.81291127204895,132580.640625,5280,187.7037353515625,0.001,-1.651716709136963,,
468,317,66.89112696000011,134,42696,75.7,2.825585126876831,305736.46875,5324,198.5260467529297,0.001,-1.804561972618103,,
472,317,24.65960699999996,135,43000,74.59,2.8375144004821777,342006.75,5362,446.463134765625,0.001,-2.4890241622924805,,
476,318,-148.43313998000002,136,43392,78.77,2.856562852859497,132353.40625,5411,370.07275390625,0.001,-2.566380739212036,,
480,318,122.9935409800001,137,43736,81.74,2.875882148742676,127898.6796875,5454,64.44061279296875,0.001,-2.256570339202881,,
484,318,295.42542800999996,138,44200,81.88,2.9005603790283203,391503.34375,5512,-59.93565368652344,0.001,-2.077474594116211,,
488,318,288.29463540999996,139,44520,84.02,2.9153249263763428,275355.9375,5552,110.71879577636719,0.001,-2.0747599601745605,,
