time/episodes,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,train/learning_rate,time/time_elapsed,train/n_updates,rollout/ep_len_mean,time/fps,time/total_timesteps,train/ent_coef_loss,train/ent_coef
4,-3.3548998832702637,2038.611328125,-142503.470741,0.0003,0,10,26.25,287,144,-0.0034367437474429607,0.999721109867096
8,-4.480326175689697,2551.4892578125,-178090.04805887502,0.0003,1,51,26.125,179,308,-0.20106348395347595,0.9866760969161987
12,13.084554672241211,2646.209716796875,-213710.5629301667,0.0003,4,133,40.0,157,636,-0.5925577282905579,0.9612581729888916
16,3576.3720703125,2780.0234375,-368998.121868625,0.0003,8,276,56.25,147,1208,-0.6876323819160461,0.9229204654693604
20,8308.9423828125,4629.142578125,-533410.37815935,0.0003,10,345,62.55,145,1484,-0.4070180356502533,0.9126777052879333
24,21022.451171875,4291.05859375,-894951.0126420417,0.0003,15,522,71.625,143,2192,-0.19775468111038208,0.9146127104759216
28,28080.52734375,4106.828125,-1369085.6981495358,0.0003,17,620,84.82142857142857,143,2584,-0.06808647513389587,0.9202452301979065
32,32063.6953125,4973.07763671875,-1464386.8967010938,0.0003,19,683,85.21875,143,2836,0.8371535539627075,0.9313400983810425
36,52109.7421875,4754.38623046875,-1786150.4410377222,0.0003,25,876,93.0,140,3608,0.006806548684835434,0.9988405704498291
40,111716.703125,5279.71240234375,-3175109.7345661,0.0003,40,1408,137.425,142,5736,-0.705482006072998,1.1516876220703125
44,127880.84375,5291.33251953125,-3069764.6068420005,0.0003,45,1577,131.88636363636363,141,6412,-2.609611988067627,1.2034516334533691
48,147598.890625,5182.6259765625,-3445732.401513146,0.0003,51,1810,143.0,141,7344,-1.8317110538482666,1.313733696937561
52,210692.71875,5171.55810546875,-4220935.456947288,0.0003,65,2292,168.76923076923077,142,9272,-4.876895427703857,1.5384355783462524
56,252720.0,5659.6142578125,-4534944.275820697,0.0003,77,2720,180.19642857142858,142,10984,-6.609982490539551,1.7193472385406494
60,291665.1875,5135.66064453125,-4811725.1821246,0.0003,86,3035,190.1,142,12244,-6.087630748748779,1.9124751091003418
64,308124.3125,5164.38134765625,-4904385.022350185,0.0003,89,3142,193.53846153846155,141,12672,-7.252543926239014,1.9745070934295654
68,349191.4375,5548.7451171875,-5061988.925988221,0.0003,99,3506,198.75,141,14128,-10.10445499420166,2.252999782562256
72,386248.0625,5638.3671875,-5182588.3491497785,0.0003,108,3820,201.55555555555554,141,15384,-10.934104919433594,2.471234083175659
76,397368.0,5845.87939453125,-4915054.696917869,0.0003,108,3830,191.21052631578948,141,15424,-10.646402359008789,2.478058099746704
80,411967.5625,5299.04345703125,-5074005.362485513,0.0003,111,3932,195.425,141,15832,-11.708648681640625,2.5576164722442627
84,442785.5625,5076.51416015625,-5312836.056423596,0.0003,121,4289,203.6547619047619,141,17260,-9.930049896240234,2.8275346755981445
88,467085.8125,5165.2294921875,-5166018.798210511,0.0003,129,4551,198.67045454545453,141,18308,-17.59369468688965,3.1335086822509766
92,549573.9375,5488.30810546875,-5386414.491558467,0.0003,150,5358,208.90217391304347,143,21536,-11.812051773071289,3.915428638458252
96,543934.5,5688.00634765625,-5866809.315879062,0.0003,152,5442,225.90625,143,21872,-13.069751739501953,3.994002103805542
100,576457.875,5696.60546875,-5862322.39307154,0.0003,159,5658,225.62,142,22736,-14.026070594787598,4.206578254699707
104,591228.9375,6989.14794921875,-5865449.794260511,0.0003,160,5715,225.33,142,22964,-17.455547332763672,4.2741241455078125
108,645922.1875,5322.20947265625,-6326647.095241671,0.0003,184,6583,244.16,143,26436,-15.357337951660156,5.441769123077393
112,665070.8125,6568.970703125,-6767275.899424979,0.0003,186,6652,260.6,143,26712,-17.06631088256836,5.5436201095581055
116,687013.5625,5883.30517578125,-6857064.433880199,0.0003,198,7065,262.58,143,28364,-25.281085968017578,6.3947434425354
120,755593.5,7507.0732421875,-7709846.056890351,0.0003,223,8038,293.07,144,32256,-21.689361572265625,8.577948570251465
124,789469.375,7006.833984375,-8168942.906759121,0.0003,237,8573,312.06,144,34396,-19.794391632080078,10.067880630493164
128,799739.4375,7640.14208984375,-8268096.41826686,0.0003,246,8884,321.51,144,35640,-21.202430725097656,10.821261405944824
132,809538.6875,9797.3359375,-8454194.27002744,0.0003,253,9140,331.48,144,36664,-23.485279083251953,11.608351707458496
136,824657.5,8192.0380859375,-8527412.688902311,0.0003,262,9454,334.3,144,37920,-23.507278442382812,12.672245025634766
140,835346.6875,10595.1298828125,-8199937.009996111,0.0003,264,9525,325.01,144,38204,-21.865461349487305,12.912469863891602
144,890096.8125,8692.2001953125,-8481880.11538921,0.0003,281,10151,338.66,144,40708,-18.184886932373047,15.006261825561523
148,859630.75,7098.82470703125,-8352155.70124175,0.0003,283,10202,336.88,144,40912,-13.387489318847656,15.163274765014648
152,870508.625,9630.1689453125,-7874311.499429599,0.0003,284,10239,321.91,144,41060,-14.01307487487793,15.275025367736816
156,878702.125,8962.5537109375,-7542131.52030402,0.0003,284,10264,310.34,144,41160,-17.884727478027344,15.358975410461426
160,894139.125,7212.607421875,-7200570.265497179,0.0003,286,10309,298.12,144,41340,-19.326038360595703,15.522499084472656
164,866277.125,11707.8125,-6948736.9919711,0.0003,287,10353,289.35,144,41516,-17.356584548950195,15.695096969604492
168,927687.25,8278.3642578125,-7160196.7648666985,0.0003,311,11264,297.77,144,45160,-22.740833282470703,20.489648818969727
172,922993.1875,8489.126953125,-7144745.53050931,0.0003,313,11331,298.08,144,45428,-18.389320373535156,20.79008674621582
176,927971.625,10168.822265625,-7296664.047706102,0.0003,318,11523,305.31,144,46196,-18.091781616210938,21.720563888549805
180,919186.1875,9825.263671875,-7277671.135406639,0.0003,320,11569,306.36,144,46380,-19.510379791259766,21.960844039916992
184,945286.0,10418.609375,-6914688.695812409,0.0003,321,11629,294.01,144,46620,-18.108980178833008,22.26533317565918
188,950237.6875,10401.1015625,-6865388.647060531,0.0003,324,11731,292.34,144,47028,-19.59178924560547,22.75090980529785
192,964404.875,9731.4345703125,-6526691.98838138,0.0003,328,11857,278.93,144,47532,-17.615577697753906,23.36598014831543
196,954104.9375,9198.74609375,-5858460.147671222,0.0003,328,11888,254.82,144,47656,-20.798770904541016,23.535266876220703
200,937649.9375,10723.7998046875,-5737040.9428743,0.0003,329,11920,250.73,144,47784,-17.916610717773438,23.72861671447754
204,967792.25,10922.5087890625,-5669069.6767427595,0.0003,330,11948,248.17,144,47896,-21.768957138061523,23.905263900756836
208,986001.8125,9975.962890625,-5217418.010746529,0.0003,331,11994,229.2,144,48080,-23.220277786254883,24.19861602783203
212,960130.125,9440.619140625,-4816354.974365629,0.0003,336,12140,212.73,144,48664,-23.91107749938965,25.18784523010254
216,1030198.1875,9723.7548828125,-5599671.44439669,0.0003,362,13140,237.78,145,52664,-23.177160263061523,33.09037780761719
220,1074578.125,10075.9931640625,-5771427.44525365,0.0003,388,14140,243.78,145,56664,-10.141439437866211,41.352561950683594
224,1096349.0,10486.51171875,-6189882.727982659,0.0003,415,15140,260.11,146,60664,-6.387324810028076,49.94573211669922
228,1168749.0,11309.080078125,-6951595.36402714,0.0003,441,16140,284.1,146,64664,-0.40799465775489807,56.71124267578125
232,1207198.0,11532.3251953125,-7695507.9846139895,0.0003,468,17140,310.61,146,68664,-5.553737640380859,63.4368782043457
236,1244806.75,13439.1689453125,-8073196.702354871,0.0003,484,17743,326.66,146,71076,-3.0701375007629395,66.69983673095703
240,1248094.25,14062.12109375,-8075115.51916753,0.0003,488,17900,329.28,146,71704,-0.17254376411437988,68.3684310913086
244,1257652.375,11425.6591796875,-8617090.29441756,0.0003,514,18900,352.57,147,75704,0.18758553266525269,72.8880844116211
248,1286950.25,15427.431640625,-8877137.711827772,0.0003,528,19402,363.1,147,77712,2.095404624938965,70.13362884521484
252,1289803.5,10614.109375,-8929938.59933447,0.0003,530,19510,365.98,147,78144,-0.27434343099594116,70.86546325683594
256,1274992.125,11297.701171875,-8978986.724367319,0.0003,534,19640,369.11,147,78664,0.3568546772003174,71.27218627929688
260,1284662.25,11296.0771484375,-8989880.951008348,0.0003,537,19742,369.65,147,79072,-3.4120774269104004,71.90225219726562
264,1297054.125,12582.998046875,-9016477.65459872,0.0003,540,19852,371.24,147,79512,-0.3220169246196747,72.65312957763672
268,1301067.5,12584.92578125,-8534049.426865822,0.0003,543,19959,353.88,146,79940,1.582125186920166,72.17093658447266
272,1285763.25,13465.5078125,-8559454.185147941,0.0003,545,20006,356.67,147,80128,-0.4322260618209839,72.04210662841797
276,1310593.5,10798.25390625,-8452308.885017019,0.0003,548,20107,353.13,146,80532,0.12218117713928223,71.48838806152344
280,1333595.375,10928.888671875,-8178091.620563981,0.0003,549,20146,343.78,146,80688,-2.548891305923462,71.34426879882812
284,1311103.5,11836.078125,-8152822.824750228,0.0003,550,20196,342.83,146,80888,-0.7729743719100952,71.11775970458984
288,1294417.5,13090.96484375,-8153004.66206162,0.0003,553,20275,343.84,146,81204,-1.7801072597503662,71.18401336669922
292,1313136.0,12847.9365234375,-8107728.230350911,0.0003,555,20362,342.45,146,81552,-2.481858015060425,71.74060821533203
296,1303491.75,16462.99609375,-8138638.6514062695,0.0003,557,20440,345.32,146,81864,0.5904289484024048,72.33769226074219
300,1320780.0,12477.7578125,-8123029.57623902,0.0003,558,20467,345.35,146,81972,-2.2213807106018066,72.46843719482422
304,1307460.5,11425.2265625,-8134305.520414339,0.0003,560,20544,346.84,146,82280,-0.27347666025161743,73.43033599853516
308,1283672.875,10447.4111328125,-8131614.97629304,0.0003,562,20582,347.3,146,82432,0.9392417073249817,73.96939086914062
312,1328210.0,10803.5322265625,-8127804.664017129,0.0003,564,20683,348.49,146,82836,-3.072391986846924,75.2174301147461
316,1314100.125,15316.2333984375,-7262502.645108058,0.0003,567,20765,320.82,146,83164,-3.596571683883667,76.05445098876953
320,1324938.625,10284.71484375,-6227583.249614942,0.0003,572,20931,284.03,146,83828,-3.5888826847076416,78.4345932006836
324,1326582.5,13156.1923828125,-5316321.059334781,0.0003,575,21042,250.04,146,84272,-2.6092464923858643,79.77703857421875
328,1326192.375,13868.435546875,-4363993.74798456,0.0003,578,21162,216.07,146,84752,-2.574608325958252,81.40005493164062
332,1320634.0,10624.974609375,-3386636.16882993,0.0003,580,21217,179.15,146,84972,-4.092622756958008,81.70543670654297
336,1330669.5,12838.1796875,-2801089.0290200794,0.0003,582,21299,157.47,146,85300,1.065679669380188,82.82050323486328
340,1333460.0,13180.494140625,-2523706.6675816705,0.0003,584,21351,144.75,146,85508,-1.800470232963562,83.31112670898438
344,1337219.25,10115.0283203125,-1635182.0221734704,0.0003,585,21407,106.18,146,85732,0.1928102970123291,83.84776306152344
348,1337867.0,18301.482421875,-1295698.6885431998,0.0003,595,21770,94.06,146,87184,-1.671501874923706,89.50577545166016
352,1357284.875,12566.572265625,-1688257.8966290497,0.0003,619,22642,117.1,146,90672,-1.641440749168396,102.49980163574219
356,1347101.625,12473.1181640625,-1930820.79985497,0.0003,631,23107,129.02,146,92532,-1.352570652961731,107.15335845947266
360,1366346.5,9848.2646484375,-2016866.29682085,0.0003,633,23178,133.09,146,92816,0.22924701869487762,107.88934326171875
364,1340607.75,9645.78125,-2338016.89481623,0.0003,644,23565,150.02,146,94364,-2.209178924560547,111.79051208496094
368,1340358.75,11257.13671875,-2508725.0518886,0.0003,648,23698,158.2,146,94896,-1.8900517225265503,113.72245025634766
372,1372688.75,13792.6162109375,-2324814.52169286,0.0003,654,23935,152.08,146,95844,0.5718631148338318,118.20539855957031
