time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/n_updates,train/policy_objective,train/learning_rate,train/std,train/explained_variance,train/kl_divergence_loss,train/is_line_search_success,train/value_loss
16384,-100201.05,256,63,82.04,1,,,,,,,,
32768,-100167.3125,250,130,88.67,2,1,0.009794708341360092,0.0001,0.9988725185394287,-2.384185791015625e-07,0.002482098061591387,1.0,618085190.5
49152,-99746.7125,247,198,101.54,3,2,0.013354113325476646,0.0001,0.9944102168083191,-9.5367431640625e-07,0.004840390756726265,1.0,556188494.0375
65536,-99590.72888889,246,265,123.53,4,3,0.01728425920009613,0.0001,0.9895004034042358,-4.76837158203125e-07,0.004568299278616905,1.0,496952127.5375
81920,-99455.2625,246,332,138.79,5,4,0.01669684238731861,0.0001,0.984644889831543,-1.1920928955078125e-07,0.0031564608216285706,1.0,413926031.01875
98304,-100180.9875,245,400,139.99,6,5,0.020224962383508682,0.0001,0.983078122138977,0.0,0.0034232973121106625,1.0,349330111.634375
114688,-99807.95,244,468,155.21,7,6,0.021144172176718712,0.0001,0.9795634150505066,0.0,0.0050637065432965755,1.0,341860039.9875
131072,-100484.06,244,536,191.98,8,7,0.017131788656115532,0.0001,0.9781572818756104,-1.1920928955078125e-07,0.0038970448076725006,1.0,307291442.65
147456,-99732.05555555999,244,603,192.01,9,8,0.018177449703216553,0.0001,0.9655115008354187,-1.1920928955078125e-07,0.005401762202382088,1.0,221389295.271875
163840,-100104.21011905,243,671,215.74,10,9,0.018202170729637146,0.0001,0.961651086807251,1.1920928955078125e-07,0.004886098671704531,1.0,256193510.79375
180224,-100242.00416667,243,739,209.31,11,10,0.016711292788386345,0.0001,0.9615842700004578,0.0,0.005035245791077614,1.0,219645718.7859375
196608,-99500.52222222999,243,807,223.63,12,11,0.01710003986954689,0.0001,0.9614115953445435,0.0,0.008631696924567223,1.0,229685029.653125
212992,-99841.08055556,243,874,267.1,13,12,0.017933672294020653,0.0001,0.95709228515625,-1.1920928955078125e-07,0.005247071385383606,1.0,220243616.3921875
229376,-98227.06333332001,243,941,274.88,14,13,0.01589258387684822,0.0001,0.9562010765075684,0.0,0.006200339645147324,1.0,155669494.77890626
245760,-98537.81888888002,243,1008,282.53,15,14,0.018696699291467667,0.0001,0.9543070793151855,0.0,0.005509357899427414,1.0,180361935.01601562
262144,-97900.35138889,243,1075,292.5,16,15,0.01764044165611267,0.0001,0.9579778909683228,0.0,0.006234041415154934,1.0,153160516.74804688
278528,-98386.12083333,243,1142,280.24,17,16,0.01567535102367401,0.0001,0.94805908203125,0.0,0.005430796183645725,1.0,176320993.21875
294912,-97481.75416668001,244,1208,284.21,18,17,0.0149838887155056,0.0001,0.9414140582084656,0.0,0.005078498274087906,1.0,162035214.3796875
311296,-97634.27055557,244,1274,283.62,19,18,0.019070416688919067,0.0001,0.946367621421814,-1.1920928955078125e-07,0.007699958048760891,1.0,182674867.46640626
327680,-97855.60805555999,244,1341,321.8,20,19,0.017263416200876236,0.0001,0.9468439817428589,0.0,0.004842986352741718,1.0,161760702.40546876
344064,-97234.55611111998,244,1408,332.79,21,20,0.019333668053150177,0.0001,0.9460654258728027,0.0,0.007325881626456976,1.0,126170333.38535157
360448,-97138.50611112,244,1474,341.09,22,21,0.016504470258951187,0.0001,0.9455018043518066,0.0,0.006868479307740927,1.0,153218849.89570314
376832,-97661.79166666999,244,1540,354.02,23,22,0.01346618589013815,0.0001,0.9471621513366699,0.0,0.00574189517647028,1.0,134922548.5209961
393216,-99337.15416666999,244,1607,323.39,24,23,0.01981104537844658,0.0001,0.9559708833694458,0.0,0.0064309160225093365,1.0,128866674.17539063
409600,-99529.90833333001,244,1674,332.15,25,24,0.023332873359322548,0.0001,0.9493221640586853,0.0,0.0068532563745975494,1.0,164144039.615625
425984,-97341.46388889,244,1739,344.24,26,25,0.02066413313150406,0.0001,0.9394670724868774,0.0,0.006440978497266769,1.0,127057413.69833985
442368,-97205.545,244,1806,351.93,27,26,0.022906247526407242,0.0001,0.9296107292175293,0.0,0.007958276197314262,1.0,140861528.35117188
458752,-100545.23944444001,244,1873,363.03,28,27,0.016638746485114098,0.0001,0.923233151435852,0.0,0.0071030547842383385,1.0,128557038.31269531
475136,-97787.94694444,244,1941,412.05,29,28,0.021687202155590057,0.0001,0.9189965128898621,-1.1920928955078125e-07,0.005966661032289267,1.0,123244080.88107911
491520,-95771.12916666002,244,2008,429.41,30,29,0.01423677895218134,0.0001,0.9154725074768066,0.0,0.0057827564887702465,1.0,91158210.2724121
