rollout/ep_len_mean,time/fps,time/episodes,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/actor_loss,train/critic_loss,train/learning_rate,train/n_updates,train/ent_coef_loss,train/ent_coef
12.5,875,4,92,-134120.79272025,0,,,,,,
21.125,207,8,216,-167465.948846625,1,-1.578676700592041,3831.85009765625,0.0003,28,-0.04596356675028801,0.9951490163803101
20.083333333333332,182,12,264,-166648.40447074999,1,-2.1800827980041504,4337.396484375,0.0003,40,-0.0827365294098854,0.9913697242736816
19.3125,165,16,368,-159205.7429183125,2,-11.63386344909668,4235.767578125,0.0003,66,-0.16322490572929382,0.9831095337867737
19.1,153,20,468,-159982.47085315,3,-34.12468338012695,3803.537109375,0.0003,91,-0.24654744565486908,0.9754081964492798
20.958333333333332,145,24,596,-158847.017176875,4,-24.62934112548828,4117.03955078125,0.0003,123,-0.35229694843292236,0.965683102607727
20.535714285714285,142,28,656,-158931.4103758214,4,22.704551696777344,3083.1015625,0.0003,138,-0.3868129849433899,0.9611534476280212
21.46875,141,32,732,-154680.42932275,5,122.04619598388672,3478.11865234375,0.0003,157,-0.42539477348327637,0.9555680751800537
22.944444444444443,141,36,892,-168482.53697661113,6,622.04296875,3876.434814453125,0.0003,197,-0.4852502644062042,0.9441850781440735
23.025,141,40,1012,-177772.39997919998,7,1410.6884765625,3608.327392578125,0.0003,227,-0.4960157871246338,0.9365925192832947
23.795454545454547,140,44,1080,-194499.2135381818,7,2008.574951171875,4559.7158203125,0.0003,244,-0.488842636346817,0.9327412247657776
23.208333333333332,140,48,1180,-193325.31031895833,8,3187.388671875,2995.920166015625,0.0003,269,-0.46823781728744507,0.9273216724395752
22.75,140,52,1280,-196833.2700136923,9,4073.741943359375,4352.05029296875,0.0003,294,-0.42679673433303833,0.9225213527679443
23.071428571428573,139,56,1352,-212449.5467363214,9,4509.04296875,5307.2177734375,0.0003,312,-0.4246194660663605,0.9195128679275513
22.2,138,60,1400,-211058.68657851667,10,4938.169921875,4416.3564453125,0.0003,324,-0.455660879611969,0.9174944758415222
21.390625,138,64,1460,-207998.70113296877,10,5451.71728515625,3527.811279296875,0.0003,339,-0.4779331088066101,0.9149130582809448
20.941176470588236,138,68,1560,-212651.85385851475,11,6453.447265625,5610.81640625,0.0003,364,-0.5494503974914551,0.9103235602378845
23.125,139,72,2024,-278023.3334299028,14,14439.9912109375,5045.26220703125,0.0003,480,0.2306147664785385,0.8992618322372437
25.81578947368421,138,76,2268,-351606.8521341316,16,18455.7734375,4776.62255859375,0.0003,541,0.7493222951889038,0.9085342884063721
25.9875,137,80,2292,-373374.596880975,16,18869.759765625,5097.1923828125,0.0003,547,0.6380691528320312,0.9103564620018005
27.452380952380953,137,84,2320,-420947.2937289166,16,19380.58984375,4968.37158203125,0.0003,554,0.6409721374511719,0.9123984575271606
30.079545454545453,137,88,3592,-504009.6866342727,26,45691.7890625,4972.7978515625,0.0003,872,0.022607333958148956,0.976667046546936
44.244680851063826,137,92,4340,-906278.3948360106,31,63214.109375,5550.177734375,0.0003,1059,-0.16393911838531494,1.0288382768630981
44.479166666666664,138,96,4768,-920399.6993211875,34,75238.4296875,5545.75732421875,0.0003,1166,-0.6164286136627197,1.0687017440795898
48.13,138,100,4828,-1034857.7739254399,34,76403.125,5516.59765625,0.0003,1181,-0.7252675294876099,1.0750418901443481
56.44,137,104,6020,-1280024.16365397,43,109724.0703125,5750.62451171875,0.0003,1479,0.6655946969985962,1.187907099723816
58.44,137,108,6052,-1363575.4480847598,44,108537.5703125,5698.91259765625,0.0003,1487,0.6454360485076904,1.1866962909698486
57.88,137,112,6084,-1361872.4421878997,44,110546.015625,5834.8046875,0.0003,1495,0.18808835744857788,1.185456395149231
57.36,137,116,6116,-1361593.0097627204,44,112491.421875,5938.4228515625,0.0003,1503,-0.23637613654136658,1.184594988822937
60.72,136,120,6972,-1469832.13917413,50,136934.515625,6190.033203125,0.0003,1717,-0.4056200087070465,1.2404276132583618
64.91,136,124,7024,-1617291.8627377,51,138888.515625,5872.13037109375,0.0003,1730,-0.18493160605430603,1.2416242361068726
69.0,137,128,8040,-1741032.27675939,58,165501.59375,6060.56494140625,0.0003,1984,-1.7041162252426147,1.359713077545166
75.4,137,132,8360,-1937715.4483137298,60,173810.3125,6416.37744140625,0.0003,2064,-2.449963331222534,1.3892457485198975
74.13,137,136,8408,-1930560.7189724403,61,177513.203125,6468.2509765625,0.0003,2076,-3.0081710815429688,1.3946044445037842
73.3,137,140,8456,-1924106.4175359502,61,178430.328125,6420.45458984375,0.0003,2088,-3.273548126220703,1.4003185033798218
72.19,137,144,8516,-1913937.8192194703,62,178427.6875,6492.3828125,0.0003,2103,-3.422379970550537,1.4079344272613525
71.67,136,148,8576,-1911025.4967791098,62,179925.625,6580.873046875,0.0003,2118,-3.8023645877838135,1.4163570404052734
71.14,136,152,8640,-1905872.8467289996,63,180834.203125,6168.38818359375,0.0003,2134,-4.669673919677734,1.426512598991394
70.21,136,156,8704,-1893659.3440025398,63,183172.15625,6240.826171875,0.0003,2150,-4.822154998779297,1.437689185142517
69.97,136,160,8768,-1890400.9405538493,64,185064.046875,6534.71044921875,0.0003,2166,-5.313353538513184,1.4495636224746704
69.76,135,164,8832,-1888320.9019686899,64,187452.25,6961.30517578125,0.0003,2182,-5.704370021820068,1.4620102643966675
69.37,135,168,8896,-1881242.6492154596,65,188668.953125,7018.4931640625,0.0003,2198,-5.901481628417969,1.4748977422714233
67.12,135,172,8960,-1830072.8815039995,66,190954.984375,6638.908203125,0.0003,2214,-6.029182434082031,1.4879827499389648
64.31,135,176,9024,-1767431.64381056,66,191332.046875,6850.6083984375,0.0003,2230,-6.218846321105957,1.501155138015747
63.3,135,180,9088,-1740357.2205617102,67,194732.1875,6893.95166015625,0.0003,2246,-6.954965591430664,1.514458417892456
61.19,135,184,9152,-1689863.74562189,67,196653.015625,6699.59765625,0.0003,2262,-7.094712257385254,1.5280312299728394
57.94,135,188,9216,-1604335.1468625197,68,195978.75,6229.03515625,0.0003,2278,-7.310263633728027,1.5417340993881226
44.81,135,192,9280,-1251801.5259625802,68,197636.5625,7559.36181640625,0.0003,2294,-7.549215316772461,1.5554898977279663
42.03,135,196,9344,-1173087.27688673,69,202425.09375,6602.859375,0.0003,2310,-8.008951187133789,1.5692107677459717
36.76,135,200,9408,-1026214.4369349201,69,201786.484375,7041.35986328125,0.0003,2326,-8.172932624816895,1.5829054117202759
