time/total_timesteps,train/learning_rate,train/delta_std,rollout/ep_len_mean,train/step_size,rollout/ep_rew_mean,train/iterations,time/time_elapsed,rollout/return_std,time/fps
54888,0.02,0.05,857.625,5.315682116702192e-08,-45161.09375,0,89,47030.65234375,611
104252,0.02,0.05,771.3125,5.4049227315999815e-08,-44580.625,1,170,46254.12890625,610
157032,0.02,0.05,824.6875,5.491703802817938e-08,-36184.0625,2,255,45523.2109375,615
201192,0.02,0.05,690.0,5.326233321056861e-08,-50018.4375,3,327,46937.484375,614
265024,0.02,0.05,997.375,1.0043184772712266e-07,-16223.125,4,432,24892.501953125,613
317848,0.02,0.05,825.375,6.287022813467047e-08,-31075.9375,5,517,39764.44921875,614
379096,0.02,0.05,957.0,7.339946961337773e-08,-20258.125,6,617,34060.19140625,614
428216,0.02,0.05,767.5,5.2601631495008405e-08,-44533.125,7,697,47527.04296875,613
473052,0.02,0.05,700.5625,5.208195830164186e-08,-54500.3125,8,770,48001.265625,614
536084,0.02,0.05,984.875,1.12632768889398e-07,-14847.1875,9,872,22196.02734375,614
590396,0.02,0.05,848.625,5.484784537657106e-08,-39733.125,10,961,45580.640625,613
642468,0.02,0.05,813.625,5.569004102312647e-08,-37848.125,11,1046,44891.328125,613
691784,0.02,0.05,770.5625,4.965767175235669e-08,-49738.125,12,1126,50344.68359375,614
742708,0.02,0.05,795.6875,6.087418569222791e-08,-32954.375,13,1209,41068.30859375,613
790712,0.02,0.05,750.0625,5.410118575355227e-08,-41890.520833312505,14,1287,46209.70703125,614
838320,0.02,0.05,743.875,5.687677884225195e-08,-38685.625,15,1365,43954.66796875,614
886168,0.02,0.05,747.625,5.3583327996875596e-08,-44972.5,16,1443,46656.30078125,613
942908,0.02,0.05,886.5625,6.597719703904659e-08,-27613.75,17,1536,37891.87890625,613
993724,0.02,0.05,794.0,5.285225412876571e-08,-45436.25,18,1620,47301.671875,613
1055856,0.02,0.05,970.8125,1.0118513671386609e-07,-14282.96875,19,1720,24707.185546875,613
1109328,0.02,0.05,835.5,5.506858968828965e-08,-39601.875,20,1808,45397.9296875,613
1170680,0.02,0.05,958.625,1.033953935802856e-07,-14228.125,21,1907,24179.02734375,613
1226676,0.02,0.05,874.9375,5.4360043577617034e-08,-39996.25,22,1999,45989.66015625,613
1275888,0.02,0.05,768.9375,6.060917456807147e-08,-31816.875,23,2079,41247.8828125,613
1332596,0.02,0.05,886.0625,6.194308355134126e-08,-32503.4375,24,2171,40359.6328125,613
1392988,0.02,0.05,943.625,6.390958873225827e-08,-25591.40625,25,2268,39117.76171875,614
1449648,0.02,0.05,885.3125,6.229461746443121e-08,-32374.375,26,2360,40131.87890625,614
1506796,0.02,0.05,892.9375,5.992811225041805e-08,-30586.953125,27,2452,41716.6484375,614
1555396,0.02,0.05,759.375,5.430108984683102e-08,-44454.375,28,2532,46039.58984375,614
1611456,0.02,0.05,875.9375,6.891395543107137e-08,-26856.5625,29,2623,36277.12109375,614
1667152,0.02,0.05,870.25,6.088355064548523e-08,-32026.25,30,2713,41061.99609375,614
1722892,0.02,0.05,870.9375,6.08905281751504e-08,-32923.4375,31,2804,41057.2890625,614
1778904,0.02,0.05,875.1875,5.5521702790883865e-08,-39361.5625,32,2896,45027.4375,614
1825512,0.02,0.05,728.25,5.531038738126881e-08,-36980.208333312505,33,2971,45199.46484375,614
1880328,0.02,0.05,856.5,5.5978627955255433e-08,-39125.625,34,3062,44659.8984375,614
1933124,0.02,0.05,824.9375,5.85908281891534e-08,-31757.03125,35,3148,42668.79296875,614
1990624,0.02,0.05,898.4375,6.809409569541458e-08,-26251.25,36,3241,36713.90234375,614
2050000,,,956.2,,-21558.333333333332,,3339,,613
2051996,0.02,0.05,958.9375,7.877945762402305e-08,-20835.9375,37,3342,31734.162109375,613
